"","ensembl_gene_id_version","external_gene_name","ensembl_gene_id"
"1","ENSG00000000457.14","SCYL3","ENSG00000000457"
"2","ENSG00000000460.17","FIRRM","ENSG00000000460"
"3","ENSG00000000938.13","FGR","ENSG00000000938"
"4","ENSG00000000971.17","CFH","ENSG00000000971"
"5","ENSG00000001460.18","STPG1","ENSG00000001460"
"6","ENSG00000001461.17","NIPAL3","ENSG00000001461"
"7","ENSG00000004455.18","AK2","ENSG00000004455"
"8","ENSG00000004487.18","KDM1A","ENSG00000004487"
"9","ENSG00000006555.11","TTC22","ENSG00000006555"
"10","ENSG00000007341.19","ST7L","ENSG00000007341"
"11","ENSG00000007908.16","SELE","ENSG00000007908"
"12","ENSG00000007923.17","DNAJC11","ENSG00000007923"
"13","ENSG00000007933.13","FMO3","ENSG00000007933"
"14","ENSG00000007968.7","E2F2","ENSG00000007968"
"15","ENSG00000008118.10","CAMK1G","ENSG00000008118"
"16","ENSG00000008128.23","CDK11A","ENSG00000008128"
"17","ENSG00000008130.15","NADK","ENSG00000008130"
"18","ENSG00000009307.17","CSDE1","ENSG00000009307"
"19","ENSG00000009709.12","PAX7","ENSG00000009709"
"20","ENSG00000009724.18","MASP2","ENSG00000009724"
"21","ENSG00000009780.16","FAM76A","ENSG00000009780"
"22","ENSG00000009790.15","TRAF3IP3","ENSG00000009790"
"23","ENSG00000010165.20","METTL13","ENSG00000010165"
"24","ENSG00000010803.17","SCMH1","ENSG00000010803"
"25","ENSG00000010932.17","FMO1","ENSG00000010932"
"26","ENSG00000011007.13","ELOA","ENSG00000011007"
"27","ENSG00000011009.11","LYPLA2","ENSG00000011009"
"28","ENSG00000011021.23","CLCN6","ENSG00000011021"
"29","ENSG00000014914.21","MTMR11","ENSG00000014914"
"30","ENSG00000016490.16","CLCA1","ENSG00000016490"
"31","ENSG00000016602.9","CLCA4","ENSG00000016602"
"32","ENSG00000018625.15","ATP1A2","ENSG00000018625"
"33","ENSG00000020129.16","NCDN","ENSG00000020129"
"34","ENSG00000020633.19","RUNX3","ENSG00000020633"
"35","ENSG00000021852.14","C8B","ENSG00000021852"
"36","ENSG00000023572.10","GLRX2","ENSG00000023572"
"37","ENSG00000023902.14","PLEKHO1","ENSG00000023902"
"38","ENSG00000023909.10","GCLM","ENSG00000023909"
"39","ENSG00000024526.17","DEPDC1","ENSG00000024526"
"40","ENSG00000025800.14","KPNA6","ENSG00000025800"
"41","ENSG00000026751.17","SLAMF7","ENSG00000026751"
"42","ENSG00000027644.5","INSRR","ENSG00000027644"
"43","ENSG00000027869.12","SH2D2A","ENSG00000027869"
"44","ENSG00000028137.19","TNFRSF1B","ENSG00000028137"
"45","ENSG00000031698.13","SARS1","ENSG00000031698"
"46","ENSG00000033122.21","LRRC7","ENSG00000033122"
"47","ENSG00000034971.17","MYOC","ENSG00000034971"
"48","ENSG00000036549.13","ZZZ3","ENSG00000036549"
"49","ENSG00000037637.11","FBXO42","ENSG00000037637"
"50","ENSG00000040487.13","SLC66A1","ENSG00000040487"
"51","ENSG00000041988.16","THAP3","ENSG00000041988"
"52","ENSG00000043514.17","TRIT1","ENSG00000043514"
"53","ENSG00000044012.4","GUCA2B","ENSG00000044012"
"54","ENSG00000047410.14","TPR","ENSG00000047410"
"55","ENSG00000048707.15","VPS13D","ENSG00000048707"
"56","ENSG00000049089.15","COL9A2","ENSG00000049089"
"57","ENSG00000049239.13","H6PD","ENSG00000049239"
"58","ENSG00000049245.13","VAMP3","ENSG00000049245"
"59","ENSG00000049246.15","PER3","ENSG00000049246"
"60","ENSG00000049247.14","UTS2","ENSG00000049247"
"61","ENSG00000049249.10","TNFRSF9","ENSG00000049249"
"62","ENSG00000050628.21","PTGER3","ENSG00000050628"
"63","ENSG00000052723.12","SIKE1","ENSG00000052723"
"64","ENSG00000053371.13","AKR7A2","ENSG00000053371"
"65","ENSG00000053372.5","MRTO4","ENSG00000053372"
"66","ENSG00000054116.12","TRAPPC3","ENSG00000054116"
"67","ENSG00000054118.15","THRAP3","ENSG00000054118"
"68","ENSG00000054392.13","HHAT","ENSG00000054392"
"69","ENSG00000054523.20","KIF1B","ENSG00000054523"
"70","ENSG00000055070.17","SZRD1","ENSG00000055070"
"71","ENSG00000055732.13","MCOLN3","ENSG00000055732"
"72","ENSG00000057252.13","SOAT1","ENSG00000057252"
"73","ENSG00000057468.7","MSH4","ENSG00000057468"
"74","ENSG00000057757.10","PITHD1","ENSG00000057757"
"75","ENSG00000058085.15","LAMC2","ENSG00000058085"
"76","ENSG00000058453.17","CROCC","ENSG00000058453"
"77","ENSG00000058668.16","ATP2B4","ENSG00000058668"
"78","ENSG00000058673.17","ZC3H11A","ENSG00000058673"
"79","ENSG00000058799.15","YIPF1","ENSG00000058799"
"80","ENSG00000058804.12","NDC1","ENSG00000058804"
"81","ENSG00000060642.12","PIGV","ENSG00000060642"
"82","ENSG00000060656.20","PTPRU","ENSG00000060656"
"83","ENSG00000060688.13","SNRNP40","ENSG00000060688"
"84","ENSG00000060718.22","COL11A1","ENSG00000060718"
"85","ENSG00000064703.13","DDX20","ENSG00000064703"
"86","ENSG00000064886.14","CHI3L2","ENSG00000064886"
"87","ENSG00000065135.12","GNAI3","ENSG00000065135"
"88","ENSG00000065183.16","WDR3","ENSG00000065183"
"89","ENSG00000065243.20","PKN2","ENSG00000065243"
"90","ENSG00000065526.13","SPEN","ENSG00000065526"
"91","ENSG00000065978.19","YBX1","ENSG00000065978"
"92","ENSG00000066056.14","TIE1","ENSG00000066056"
"93","ENSG00000066135.13","KDM4A","ENSG00000066135"
"94","ENSG00000066136.21","NFYC","ENSG00000066136"
"95","ENSG00000066185.13","ZMYND12","ENSG00000066185"
"96","ENSG00000066279.19","ASPM","ENSG00000066279"
"97","ENSG00000066294.15","CD84","ENSG00000066294"
"98","ENSG00000066322.15","ELOVL1","ENSG00000066322"
"99","ENSG00000066557.6","LRRC40","ENSG00000066557"
"100","ENSG00000067334.14","DNTTIP2","ENSG00000067334"
"101","ENSG00000067606.17","PRKCZ","ENSG00000067606"
"102","ENSG00000069275.13","NUCKS1","ENSG00000069275"
"103","ENSG00000069424.16","KCNAB2","ENSG00000069424"
"104","ENSG00000069702.11","TGFBR3","ENSG00000069702"
"105","ENSG00000069812.11","HES2","ENSG00000069812"
"106","ENSG00000070759.17","TESK2","ENSG00000070759"
"107","ENSG00000070785.17","EIF2B3","ENSG00000070785"
"108","ENSG00000070831.18","CDC42","ENSG00000070831"
"109","ENSG00000070886.12","EPHA8","ENSG00000070886"
"110","ENSG00000072694.22","FCGR2B","ENSG00000072694"
"111","ENSG00000073754.6","CD5L","ENSG00000073754"
"112","ENSG00000073756.13","PTGS2","ENSG00000073756"
"113","ENSG00000074800.16","ENO1","ENSG00000074800"
"114","ENSG00000074964.17","ARHGEF10L","ENSG00000074964"
"115","ENSG00000075151.24","EIF4G3","ENSG00000075151"
"116","ENSG00000075391.18","RASAL2","ENSG00000075391"
"117","ENSG00000075945.13","KIFAP3","ENSG00000075945"
"118","ENSG00000076258.10","FMO4","ENSG00000076258"
"119","ENSG00000076321.11","KLHL20","ENSG00000076321"
"120","ENSG00000076356.7","PLXNA2","ENSG00000076356"
"121","ENSG00000076864.21","RAP1GAP","ENSG00000076864"
"122","ENSG00000077152.12","UBE2T","ENSG00000077152"
"123","ENSG00000077157.23","PPP1R12B","ENSG00000077157"
"124","ENSG00000077254.14","USP33","ENSG00000077254"
"125","ENSG00000077549.19","CAPZB","ENSG00000077549"
"126","ENSG00000078369.19","GNB1","ENSG00000078369"
"127","ENSG00000078618.23","NRDC","ENSG00000078618"
"128","ENSG00000078808.20","SDF4","ENSG00000078808"
"129","ENSG00000079277.22","MKNK1","ENSG00000079277"
"130","ENSG00000079335.20","CDC14A","ENSG00000079335"
"131","ENSG00000079739.17","PGM1","ENSG00000079739"
"132","ENSG00000080910.14","CFHR2","ENSG00000080910"
"133","ENSG00000080947.16","CROCCP3","ENSG00000080947"
"134","ENSG00000081019.14","RSBN1","ENSG00000081019"
"135","ENSG00000081026.19","MAGI3","ENSG00000081026"
"136","ENSG00000081237.21","PTPRC","ENSG00000081237"
"137","ENSG00000081248.12","CACNA1S","ENSG00000081248"
"138","ENSG00000081277.13","PKP1","ENSG00000081277"
"139","ENSG00000081721.12","DUSP12","ENSG00000081721"
"140","ENSG00000081870.12","IFT25","ENSG00000081870"
"141","ENSG00000081985.14","IL12RB2","ENSG00000081985"
"142","ENSG00000082497.12","SERTAD4","ENSG00000082497"
"143","ENSG00000082512.15","TRAF5","ENSG00000082512"
"144","ENSG00000083444.17","PLOD1","ENSG00000083444"
"145","ENSG00000084070.12","SMAP2","ENSG00000084070"
