features,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
ENSG00000290825.1,12,10,6,19,0,5,20,0,8,5,16,3
ENSG00000223972.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,56,50,24,50,31,32,44,25,29,25,51,34
ENSG00000278267.1,7,7,1,9,2,5,7,5,3,1,2,13
ENSG00000243485.5,11,4,7,4,9,5,8,0,4,13,11,6
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,1,0,2,1,0,0,0,2,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,1,0,0,1,0,0
ENSG00000268903.1,8,4,2,0,4,1,0,1,2,2,0,5
ENSG00000269981.1,4,4,0,0,6,0,0,0,4,0,0,4
ENSG00000239906.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,1,2,4,4,4,0,1,1,1,3,1,3
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,15,12,7,12,1,17,19,0,2,12,19,0
ENSG00000279457.4,165,178,99,146,144,160,118,145,110,93,138,184
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,11,7,13,14,7,10,6,3,8,9,20,6
ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,1,2,4,7,1,6,6,8,5,4,7,1
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,5,5,2,7,3,8,2,14,3,2,5,11
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,1,0,0,2,0,0,0,1,0,1,1
ENSG00000250575.1,0,1,0,1,0,1,1,0,0,1,0,0
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,68,57,71,63,161,9,117,39,82,77,249,55
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,119,108,154,196,223,114,167,182,161,171,215,201
ENSG00000225630.1,407,429,264,766,493,478,625,482,462,303,653,546
ENSG00000237973.1,2030,2025,1195,1783,2473,2187,1380,2839,1682,1247,1647,3081
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,566,567,701,1139,975,668,937,947,920,593,977,979
ENSG00000240409.1,3,1,2,9,8,1,21,11,1,5,0,8
ENSG00000248527.1,3252,2989,630,5412,2843,3344,4378,3164,824,462,5236,3215
ENSG00000198744.5,794,694,1185,2287,1086,820,1637,1091,1676,875,1895,1107
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,5,1,1,5,0,0,0,2,0
ENSG00000291215.1,26,25,10,58,19,20,33,23,11,13,44,34
ENSG00000223181.1,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000229905.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000228327.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,20,16,12,40,13,17,38,20,13,12,34,27
ENSG00000285268.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290784.1,6,2,1,3,4,0,0,2,2,4,1,3
ENSG00000230092.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177757.2,2,5,3,3,2,11,1,2,3,4,5,10
ENSG00000225880.6,41,39,15,34,20,42,40,11,20,6,30,21
ENSG00000228794.12,463,509,237,1125,366,479,874,368,295,242,1217,440
ENSG00000288531.1,0,0,0,1,0,0,4,0,0,0,2,0
ENSG00000230368.2,0,1,0,0,0,0,1,0,0,0,1,0
ENSG00000234711.1,1,0,0,0,0,0,5,0,0,0,0,1
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,0,0,0,10,0,0,10,0,0,0,12,0
ENSG00000230699.2,4,4,0,41,7,0,29,0,0,0,38,9
ENSG00000241180.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223764.2,0,0,0,54,0,0,47,0,0,0,44,0
ENSG00000187634.13,1,0,1,1,0,0,1,2,2,0,1,2
ENSG00000188976.11,6664,6390,6427,12595,5754,6669,10194,6845,5911,8320,12381,9671
ENSG00000187961.15,1041,918,594,695,728,922,479,803,537,574,636,986
ENSG00000187583.11,341,403,125,4,319,351,1,285,111,136,0,454
ENSG00000187642.10,0,5,0,0,0,1,0,0,1,0,0,0
ENSG00000272512.1,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000188290.11,0,0,3,4,0,0,1,0,1,8,4,0
ENSG00000187608.10,2448,2227,4945,3832,2666,2326,3440,2609,4975,8064,3994,2947
ENSG00000231702.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224969.1,1,2,1,1,0,0,3,1,0,3,3,1
